"","sgID","gene_TSS","C3649_D0_counts","C3649_D10_rep1_counts","C3649_D10_rep2_counts","Pt5C_D0_counts","Pt5C_D10_rep1_counts","Pt5C_D10_rep2_counts","C3624K_D0_counts","C3624K_D10_rep1_counts","C3624K_D10_rep2_counts","C40280L_D0_counts","C40280L_D10_rep1_counts","C40280L_D10_rep2_counts","C40290F_D0_counts","C40290F_D10_rep1_counts","C40290F_D10_rep2_counts","C8861G_D0_counts","C8861G_D10_rep1_counts","C8861G_D10_rep2_counts","C3624K_D0_counts_TF","C3624K_D10_rep1_counts_TF","C3624K_D10_rep2_counts_TF","C8861G_D0_counts_TF","C8861G_D10_rep1_counts_TF","C8861G_D10_rep2_counts_TF","H1hESC_D0_counts","H1hESC_D10_rep1_counts","H1hESC_D10_rep2_counts","H20961B_D0_counts","H20961B_D10_rep1_counts","H20961B_D10_rep1_counts.1","H21792A_D0_counts","H21792A_D10_rep1_counts","H21792A_D10_rep2_counts","H23555A_D0_counts","H23555A_D10_rep1_counts","H23555A_D10_rep2_counts","H28126B_D0_counts","H28126B_D10_rep1_counts","H28126B_D10_rep2_counts","H23555A_D0_counts_TF","H23555A_D10_rep1_counts_TF","H23555A_D10_rep2_counts_TF","H20961B_D0_counts_TF","H20961B_D10_rep1_counts_TF","H20961B_D10_rep2_counts_TF","H28126B_D0_counts_TF","H28126B_D10_rep1_counts_TF","H28126B_D10_rep2_counts_TF"
"AATF_-_35306340.23-P1P2","AATF_-_35306340.23-P1P2","AATF__P1P2",603,194,158,335,99,64,696,51,190,1437,1361,1236,1670,1248,1254,176,6,38,2035,170,159,508,174,169,202,136,247,983,165,165,463,53,22,838,107,284,1664,2930,3631,592,297,477,1074,188,303,3192,576,1364
"AATF_-_35306346.23-P1P2","AATF_-_35306346.23-P1P2","AATF__P1P2",493,101,93,238,25,32,627,28,55,258,20,16,892,97,51,99,30,1,1659,130,192,294,49,65,192,112,125,759,135,135,471,26,9,573,58,95,1522,2188,1924,461,134,196,592,156,86,1070,249,125
"AATF_-_35306333.23-P1P2","AATF_-_35306333.23-P1P2","AATF__P1P2",550,242,176,263,83,74,637,34,37,1405,1715,1492,1122,2080,1133,107,3,4,1690,109,155,263,125,164,206,126,184,696,102,102,255,6,3,647,124,74,587,150,253,542,247,256,667,80,129,403,104,27
"AATF_-_35306312.23-P1P2","AATF_-_35306312.23-P1P2","AATF__P1P2",643,101,151,288,16,49,624,23,23,247,24,4,763,21,14,112,1,42,2169,138,233,303,111,183,1312,1637,2036,1578,2048,2048,270,174,37,732,70,155,1707,4254,3172,443,240,103,3641,3479,3350,3165,1413,2052
"AATF__P1P2__secondary__FWD__35","AATF__P1P2__secondary__FWD__35","AATF__P1P2",608,267,247,271,283,259,814,50,79,387,148,123,1138,363,323,185,27,94,2311,201,426,957,168,229,273,142,133,1542,290,290,1650,174,144,1595,88,236,1065,799,929,1276,475,347,2035,377,203,1499,169,140
"AATF__P1P2__secondary__FWD__50","AATF__P1P2__secondary__FWD__50","AATF__P1P2",626,234,182,321,183,314,826,20,33,490,44,69,1257,405,211,276,49,56,2895,369,375,991,272,159,281,243,195,1481,288,288,1604,223,285,1430,254,56,1264,1059,750,1280,337,301,2343,480,285,1269,170,207
"AATF__P1P2__secondary__FWD__53","AATF__P1P2__secondary__FWD__53","AATF__P1P2",597,238,260,353,450,397,837,103,82,587,93,88,1296,677,562,435,160,214,1902,252,507,1651,282,180,358,273,252,1553,269,269,1815,226,219,1348,97,138,1137,658,1010,1219,560,311,1871,605,416,1085,32,96
"AATF__P1P2__secondary__FWD__55","AATF__P1P2__secondary__FWD__55","AATF__P1P2",715,400,516,325,463,332,978,106,145,607,203,105,1422,905,677,462,212,81,3718,357,670,1535,719,448,438,234,305,1622,408,408,1932,305,275,1819,123,103,1483,1071,1429,1768,289,399,2907,758,589,1953,218,84
"ABCB10__P1P2__primary__RVS__7","ABCB10__P1P2__primary__RVS__7","ABCB10__P1P2",694,1800,1503,296,1932,1461,1032,1497,1405,1305,2598,1985,1370,1999,1908,1137,2031,1524,2899,3607,3991,3169,2201,1984,1123,978,1350,1578,1776,1776,3098,2103,2356,2067,2397,2621,1524,3346,2940,3789,3857,4661,3402,3787,3343,3202,2412,2336
"ABCB10_+_229694285.23-P1P2","ABCB10_+_229694285.23-P1P2","ABCB10__P1P2",734,84,129,266,32,31,927,65,33,989,116,83,1557,167,234,852,7,3,3367,302,294,2281,129,159,196,168,172,1293,45,45,1710,165,164,1648,54,45,919,102,94,1242,261,422,1622,184,156,1221,41,114
